timestamp,device_id,vibration_mm_s,temperature_c,pressure_bar,rpm,fault_mode,anomaly_pred,anomaly_score,forecast,action,severity,auth_ok,report
2026-04-30T08:38:08.499475+00:00,PUMP-A1-Houston-Plant,2.512,64.81,4.503,1755,healthy,1,-0.3578,2.522,CONTINUE,NORMAL,True,"[NORMAL] Pump PUMP-A1-Houston-Plant reports vibration 2.51 mm/s, temperature 64.8 C, pressure 4.50 bar. Anomaly score: -0.358. Forecast: 2.52 mm/s in 5 ticks. Recommended action: CONTINUE."
2026-04-30T08:38:08.503065+00:00,PUMP-A1-Houston-Plant,2.236,65.67,4.477,1746,healthy,1,-0.4289,2.558,CONTINUE,NORMAL,True,"[NORMAL] Pump PUMP-A1-Houston-Plant reports vibration 2.24 mm/s, temperature 65.7 C, pressure 4.48 bar. Anomaly score: -0.429. Forecast: 2.56 mm/s in 5 ticks. Recommended action: CONTINUE."
2026-04-30T08:38:08.507151+00:00,PUMP-A1-Houston-Plant,2.343,65.37,4.534,1759,healthy,1,-0.3892,2.513,CONTINUE,NORMAL,True,"[NORMAL] Pump PUMP-A1-Houston-Plant reports vibration 2.34 mm/s, temperature 65.4 C, pressure 4.53 bar. Anomaly score: -0.389. Forecast: 2.51 mm/s in 5 ticks. Recommended action: CONTINUE."
2026-04-30T08:38:08.510804+00:00,PUMP-A1-Houston-Plant,2.634,65.11,4.516,1757,healthy,1,-0.3499,2.48,CONTINUE,NORMAL,True,"[NORMAL] Pump PUMP-A1-Houston-Plant reports vibration 2.63 mm/s, temperature 65.1 C, pressure 4.52 bar. Anomaly score: -0.350. Forecast: 2.48 mm/s in 5 ticks. Recommended action: CONTINUE."
2026-04-30T08:38:08.514309+00:00,PUMP-A1-Houston-Plant,2.368,64.98,4.519,1747,healthy,1,-0.3648,2.481,CONTINUE,NORMAL,True,"[NORMAL] Pump PUMP-A1-Houston-Plant reports vibration 2.37 mm/s, temperature 65.0 C, pressure 4.52 bar. Anomaly score: -0.365. Forecast: 2.48 mm/s in 5 ticks. Recommended action: CONTINUE."
2026-04-30T08:38:08.517913+00:00,PUMP-A1-Houston-Plant,2.608,64.86,4.534,1751,healthy,1,-0.3583,2.469,CONTINUE,NORMAL,True,"[NORMAL] Pump PUMP-A1-Houston-Plant reports vibration 2.61 mm/s, temperature 64.9 C, pressure 4.53 bar. Anomaly score: -0.358. Forecast: 2.47 mm/s in 5 ticks. Recommended action: CONTINUE."
2026-04-30T08:38:08.521611+00:00,PUMP-A1-Houston-Plant,2.569,64.39,4.457,1760,healthy,1,-0.4095,2.455,CONTINUE,NORMAL,True,"[NORMAL] Pump PUMP-A1-Houston-Plant reports vibration 2.57 mm/s, temperature 64.4 C, pressure 4.46 bar. Anomaly score: -0.410. Forecast: 2.45 mm/s in 5 ticks. Recommended action: CONTINUE."
2026-04-30T08:38:08.524922+00:00,PUMP-A1-Houston-Plant,2.527,64.97,4.548,1756,healthy,1,-0.3636,2.417,CONTINUE,NORMAL,True,"[NORMAL] Pump PUMP-A1-Houston-Plant reports vibration 2.53 mm/s, temperature 65.0 C, pressure 4.55 bar. Anomaly score: -0.364. Forecast: 2.42 mm/s in 5 ticks. Recommended action: CONTINUE."
2026-04-30T08:38:08.528303+00:00,PUMP-A1-Houston-Plant,2.493,64.74,4.598,1755,healthy,1,-0.4297,2.451,CONTINUE,NORMAL,True,"[NORMAL] Pump PUMP-A1-Houston-Plant reports vibration 2.49 mm/s, temperature 64.7 C, pressure 4.60 bar. Anomaly score: -0.430. Forecast: 2.45 mm/s in 5 ticks. Recommended action: CONTINUE."
2026-04-30T08:38:08.531761+00:00,PUMP-A1-Houston-Plant,2.264,65.34,4.538,1756,healthy,1,-0.4052,2.477,CONTINUE,NORMAL,True,"[NORMAL] Pump PUMP-A1-Houston-Plant reports vibration 2.26 mm/s, temperature 65.3 C, pressure 4.54 bar. Anomaly score: -0.405. Forecast: 2.48 mm/s in 5 ticks. Recommended action: CONTINUE."
