timestamp,node_id,traffic_type,transmission_probability,capture_threshold,num_nodes,channel_quality,age_of_information,packet_loss_probability
2024-06-30 17:10:10.430548,61,deadline-oriented,0.9,-0.5,3,0.6000000000000001,4.7601057190497205,0.7244316064068486
2024-07-01 03:12:10.430548,55,AoI-oriented,0.4,-2.0,2,0.7000000000000001,4.068644401165404,0.48089961549559396
2024-06-30 17:44:10.430548,63,deadline-oriented,0.30000000000000004,0.0,4,0.6000000000000001,19.00787763504463,0.8359318133843544
2024-07-01 08:23:10.430548,77,deadline-oriented,0.4,0.0,1,0.30000000000000004,10.467934428285375,0.7307839713900028
2024-06-30 17:05:10.430548,44,deadline-oriented,0.7000000000000001,0.5,2,0.4,14.010373522931014,0.9065843639866464
2024-07-01 00:11:10.430548,52,AoI-oriented,0.7000000000000001,-2.0,7,1.0,8.686481342676082,0.8315613832986711
2024-07-01 03:09:10.430548,56,deadline-oriented,0.1,-0.5,4,0.0,inf,1.0
2024-07-01 04:13:10.430548,68,deadline-oriented,0.8,1.5,9,1.0,13.141690894583437,0.9002021228226882
2024-07-01 05:42:10.430548,59,AoI-oriented,0.1,-0.5,4,0.0,287.53709247841476,0.965318878738744
2024-06-30 16:05:10.430548,43,AoI-oriented,0.1,1.0,7,0.6000000000000001,134.99619231382502,0.9257455126939602
2024-07-01 06:22:10.430548,68,deadline-oriented,1.0,0.0,8,0.2,inf,1.0
2024-06-30 23:48:10.430548,81,deadline-oriented,0.7000000000000001,0.0,1,0.2,5.847454816089142,0.7649596558492169
2024-06-30 16:54:10.430548,69,AoI-oriented,0.2,-1.5,10,0.2,54.5851045045462,0.9107209857762476
2024-06-30 22:08:10.430548,20,AoI-oriented,0.30000000000000004,0.0,5,0.9,19.139587145425917,0.835009537899421
2024-07-01 01:30:10.430548,62,deadline-oriented,0.5,-1.5,9,0.4,23.037775290707483,0.9074476729388278
2024-07-01 08:12:10.430548,56,AoI-oriented,0.5,0.5,8,0.30000000000000004,30.911645472410516,0.935951880164189
2024-06-30 17:56:10.430548,41,deadline-oriented,0.2,-2.0,6,0.8,34.134824743353406,0.8586766142871933
2024-06-30 21:21:10.430548,9,deadline-oriented,0.1,-0.5,2,0.0,792.227790916303,0.9873997058969967
2024-07-01 05:37:10.430548,45,AoI-oriented,0.9,1.0,10,0.5,13.471144499629956,0.9143402850273337
2024-06-30 22:00:10.430548,18,AoI-oriented,0.8,-1.0,1,0.5,2.3697581922340105,0.4237827628246092
2024-07-01 07:50:10.430548,31,AoI-oriented,0.7000000000000001,1.5,8,1.0,12.244551607793298,0.877002227568531
2024-06-30 17:02:10.430548,29,deadline-oriented,1.0,-0.5,10,0.7000000000000001,22.044729071862207,0.9551684725977496
2024-07-01 00:42:10.430548,27,deadline-oriented,0.9,0.5,8,0.1,inf,1.0
2024-06-30 22:54:10.430548,59,AoI-oriented,0.5,1.5,5,0.7000000000000001,31.066604294527828,0.9369988044505657
2024-06-30 21:06:10.430548,96,deadline-oriented,0.9,1.5,1,0.1,11.138247127742156,0.9161847645188647
2024-06-30 18:20:10.430548,43,deadline-oriented,0.7000000000000001,1.0,1,0.9,3.070556181059151,0.40311838114255166
2024-06-30 19:53:10.430548,57,AoI-oriented,0.8,1.0,5,0.4,15.717431393277367,0.9155338798638991
2024-06-30 16:05:10.430548,69,deadline-oriented,0.6,2.0,8,0.0,inf,1.0
2024-06-30 18:08:10.430548,50,deadline-oriented,0.7000000000000001,1.5,7,0.4,inf,1.0
2024-06-30 17:48:10.430548,89,deadline-oriented,0.4,0.5,5,0.6000000000000001,12.861255909728166,0.7936553933157864
2024-07-01 03:29:10.430548,61,deadline-oriented,0.1,2.0,6,0.7000000000000001,inf,1.0
2024-07-01 07:08:10.430548,49,deadline-oriented,0.6,1.0,5,0.8,9.051295167028512,0.8528380928190169
2024-06-30 17:10:10.430548,84,AoI-oriented,0.30000000000000004,-2.0,5,0.4,22.89967584988114,0.8589506044999702
2024-06-30 17:38:10.430548,14,AoI-oriented,0.2,1.5,4,0.2,158.1842022343804,0.9681924059036177
2024-07-01 00:16:10.430548,13,deadline-oriented,0.2,-1.5,4,0.1,inf,1.0
2024-07-01 05:20:10.430548,58,AoI-oriented,0.30000000000000004,0.0,6,0.4,inf,1.0
2024-07-01 01:47:10.430548,60,deadline-oriented,0.30000000000000004,0.0,9,0.7000000000000001,inf,1.0
2024-07-01 00:45:10.430548,91,AoI-oriented,0.7000000000000001,-1.5,8,0.0,inf,1.0
2024-07-01 06:23:10.430548,61,deadline-oriented,0.30000000000000004,0.0,7,0.0,inf,1.0
2024-07-01 00:48:10.430548,20,AoI-oriented,0.4,0.0,7,0.30000000000000004,32.74824259323326,0.9259853077238949
2024-07-01 00:33:10.430548,17,AoI-oriented,0.30000000000000004,-0.5,1,0.0,75.91923669923959,0.9562317623547832
2024-06-30 22:45:10.430548,99,deadline-oriented,0.4,0.0,1,1.0,2.8071887490730716,0.052434968405471606
2024-06-30 19:49:10.430548,39,deadline-oriented,0.5,1.5,3,0.7000000000000001,10.452739487665443,0.8178368292431236
2024-06-30 17:43:10.430548,57,AoI-oriented,1.0,-0.5,4,0.9,5.095679747589108,0.6958827733684686
2024-06-30 22:50:10.430548,76,deadline-oriented,0.4,2.0,10,0.1,80.26483830780836,0.9690586049086101
